Genome	C04M3AN_ss Relative Abundance (%)	C04M3CO_ss Relative Abundance (%)	C04M3CR_ss Relative Abundance (%)	C04M3DR_ss Relative Abundance (%)	C04M3DT_ss Relative Abundance (%)	C04M3F1_ss Relative Abundance (%)	C04M3F2_ss Relative Abundance (%)	C04M3F3_ss Relative Abundance (%)	C04M3HR_ss Relative Abundance (%)	C04M3HT_ss Relative Abundance (%)	C04M3OP_ss Relative Abundance (%)	C13F5AN_ss Relative Abundance (%)	C13F5CO_ss Relative Abundance (%)	C13F5CR_ss Relative Abundance (%)	C13F5DR_ss Relative Abundance (%)	C13F5DT_ss Relative Abundance (%)	C13F5F1_ss Relative Abundance (%)	C13F5F2_ss Relative Abundance (%)	C13F5F3_ss Relative Abundance (%)	C13F5HR_ss Relative Abundance (%)	C13F5HT_ss Relative Abundance (%)	C13F5OP_ss Relative Abundance (%)
MGBC131955	0.00033978894	0.0002418428	0.00033397184	0.0004694874	0.00041412233	0.00022797342	0.00009919075	0.0005205932	0.000473399	0.00033984886	0.00023087201	0.00015770065	0.0016893654	0.0014906739	0.0011206818	0.0004511342	0.0005670505	0.0017837298	0.00039556375	0.00014243435	0.000069872294	0.00007893034
MGBC131977	0.006831025	0.023593608	0.025180947	0.024570128	0.008960917	0.024131102	0.030554885	0.0038922357	0.0151619585	0.012463806	0.018631695	0.006345146	0.022041915	0.015411402	0.010528623	0.0038032464	0.012005858	0.0076508974	0.002949668	0.014248418	0.008505773	0.013985464
MGBC131995	0.0018245961	0.0072780517	0.0046423124	0.0071116816	0.0026135342	0.006326856	0.005967201	0.00081413786	0.007965286	0.0029615047	0.0039252713	0.0013270152	0.0007016352	0.00096836605	0.0036235168	0.0009954558	0.0022070063	0.0011558587	0.00046186303	0.00042886852	0.00095269416	0.0048204833
MGBC132108	0.000024011451	0	0	0.000027289629	0.00009761528	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000010385157	0	0	0
MGBC132208	0.000027134169	0.000383218	0.00015002309	0.00014942676	0.00013562737	0.000102153645	0.00042508333	0	0.00036564504	0.00022492514	0.00003918712	0.000017727321	0.000101027974	0.00006457957	0.000041689742	0.000043483473	0.00004844977	0	0.000016547001	0.00002796384	0.000041158877	0.00002947356
MGBC132220	0.00025716439	0.001885149	0.0013437186	0.0007641547	0.0004030197	0.0012107774	0.0014089918	0.00012535887	0.001412376	0.0007348918	0.00083173957	0.00058615924	0.0014701119	0.00049185706	0.00075915246	0.00029316146	0.0012120629	0.00080977014	0.000096412376	0.0009646749	0.0003705913	0.0010605848
MGBC132292	0.000011865955	0.000015273381	0.000010213208	0.00004111574	0.000005076177	0.00002091	0.00006306197	0	0.000064013555	0.000020647296	0.000055941393	0.000073397394	0.000041631498	0.00004230811	0.00018866881	0.00001616012	0.00023668964	0.000031759595	0	0.00007669795	0.000034082463	0.00003689816
MGBC132302	0.0003821387	0.003377233	0.0025526513	0.0014170313	0.0006179525	0.0014311454	0.0015977721	0.000325085	0.003252084	0.0017448253	0.0018765652	0.00065434445	0.00097557827	0.0008259948	0.0022647139	0.00044540587	0.0017658955	0.0006991386	0.00023380914	0.00061338	0.0006114322	0.0019125713
MGBC132356	0.0011527897	0.04757325	0.036423836	0.0054968013	0.0013305607	0.0046470864	0.0069934134	0.0009671255	0.011757276	0.0063102734	0.04248407	0.0028642453	0.007947128	0.0037209159	0.0049158596	0.0016211059	0.015689464	0.0070230253	0.0009947048	0.00436864	0.003124593	0.0055343756
MGBC132469	0.0033527391	0.014587341	0.012961425	0.0070174388	0.0036612316	0.011982945	0.012461857	0.0018176092	0.008880544	0.010954929	0.010885852	0.0039050567	0.010293781	0.006144902	0.0064800647	0.0022222742	0.009087949	0.0048553897	0.0011311991	0.006534801	0.0043155495	0.01101552
MGBC132531	0.000061477425	0.00013712735	0.000101068945	0.00028603018	0.000050270286	0.00041939644	0.00037793047	0.000084752384	0.00020916568	0.00017515596	0.00019599654	0.000046381458	0.000053737167	0.000034178836	0.000026996391	0.000028983894	0.00002724215	0	0.000010971081	0.000012072077	0.000036344485	0.00006739941
MGBC132548	0.0067106886	0.002816317	0.0014614454	0.008594466	0.002341778	0.0125639625	0.01928899	0.0037351956	0.007144109	0.0033040962	0.003834452	0.005754695	0.004916007	0.0041189385	0.00083400076	0.000968166	0.0017430509	0.0055282568	0.0007564329	0.007118258	0.002534981	0.00068728277
MGBC132852	0.0057605426	0.007020915	0.004753302	0.0024883994	0.0064139864	0.0028952714	0.0015771132	0.0021398545	0.0037013316	0.0035831246	0.007761171	0.014968782	0.00553701	0.0021686119	0.0011085705	0.0018746166	0.006449415	0.014026379	0.005111526	0.0024206676	0.0017627036	0
MGBC132858	0.0050168657	0.0011389974	0.0020934376	0.0026096716	0.004004891	0.0026705035	0.002048082	0.005432503	0.0012230565	0.0015604914	0.0021197244	0.002693153	0.0010866609	0.003063476	0.0009889676	0.0027626308	0.0013667312	0.0016271824	0.00376475	0.0030655577	0.00312774	0.002367613
MGBC132965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGBC133064	0.0011154409	0.007371099	0.008866632	0.00618587	0.0014506655	0.0046648877	0.0045080716	0.00046755964	0.008278464	0.010659265	0.006931095	0.00074352924	0.0032690966	0.0019174801	0.0028355366	0.0006772708	0.0032575494	0.0021024519	0.0002439261	0.001529774	0.0008318798	0.003553666
MGBC133079	0.07447336	0.027292755	0.04026338	0.036419876	0.056763493	0.027091911	0.024096359	0.07213586	0.039241716	0.027313616	0.032924347	0.004020643	0.00046938396	0.0040650065	0.0044180714	0.0045879018	0.0026239492	0.0036671788	0.011275949	0.027239835	0.017472144	0.005092308
MGBC133096	0	0.00003437214	0.00006527577	0.000047090787	0.0003413161	0	0.000016812493	0.00004114667	0.00004814558	0.00001660611	0.000031510463	0	0	0	0	0	0	0	0	0	0	0
MGBC133411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MGBC133433	0.0074038305	0.0010848608	0.0027488202	0.0034093042	0.0063181324	0.004086435	0.0027983182	0.008815959	0.0025857273	0.0032077706	0.0024568955	0.009104357	0.0041157203	0.009292612	0.0049636373	0.0121121565	0.0047923657	0.0054088295	0.013604772	0.010985097	0.009384999	0.008302939
